,id,name,latitude,longitude,primary_category,popularity_rating,verified,tip_count,price_tier,likes,rating,delivery_available,menu_available,specials_count,photos_count,listed,twitter_available,instagram_available,facebook_available,url_available,outdoor seating,wi-fi,reservations,atm,tvs,private room,music,coat check,breakfast,dessert,happy hour,lunch,brunch,dinner,beer,wine,full bar,cocktails,street parking,public lot,live music,jukebox,bar service,bar snacks,tasting menu,valet parking,byo,parking,table service,price
126,4e4d56e822717c65aca7fab1,Michael Jordan's Steak House Chicago,41.8911369844041,-87.62415328505520,Steakhouse,,1,144,4,396,8.1,1,1,0,752,182,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
127,5303ead711d21c9427b55466,Side Door,41.8933980217555,-87.62523521528010,Gastropub,,0,31,3,72,8.4,0,0,0,116,56,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
128,522fdf320493d5258ca1f8b0,Shake Shack,41.892561204664800,-87.6256458005343,Burger Joint,,1,131,3,746,8.5,1,0,0,561,161,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
129,57460d71cd1084eabbdb5785,Osteria Di Eataly,41.89232769658550,-87.62632460366400,Italian Restaurant,,0,4,3,21,8.6,0,1,0,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
130,4c45fae2f9652d7f38bd132b,The Lobby at The Peninsula,41.89614806541520,-87.62441110114810,American Restaurant,,1,27,3,59,8.7,0,1,0,197,107,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3
131,5952c0f59de23b74a3c5a198,Steak 48,41.89305998866390,-87.62672664913280,Steakhouse,14.0,1,34,3,69,8.9,0,1,0,73,45,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
132,543d94fe498e006132008592,Lao Sze Chuan Restaurant - Downtown/Michigan Ave,41.89159958598320,-87.62433150719710,Chinese Restaurant,,1,29,3,75,7.7,1,1,0,122,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
133,52ae4af911d2ab1eb0e54c06,Il Pesce at Eataly,41.89220575177400,-87.62636008704040,Seafood Restaurant,,0,4,3,14,8.5,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
134,5511bec9498edabc0e151ccf,La Pizza & La Pasta,41.89199677318400,-87.62625066652240,Italian Restaurant,,0,19,4,74,8.1,0,1,0,140,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
135,4b39760af964a520dc5c25e3,Shanghai Terrace,41.89615574947820,-87.62421488507230,Chinese Restaurant,,1,44,3,21,8.0,0,1,0,179,105,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
136,4a7b6a36f964a520f0ea1fe3,The Palm Chicago,41.887457700000000,-87.6195718,Seafood Restaurant,,1,22,4,60,8.4,1,1,0,73,20,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
