,id,name,latitude,longitude,primary_category,popularity_rating
118,40b28c80f964a520ddfb1ee3,The Capital Grille,41.89339604134832,-87.62251092152573,American Restaurant,
119,56290b27498e2c6aacd233fe,Beatrix,41.89442501737263,-87.62253763566616,New American Restaurant,1
120,4abc187ff964a520588620e3,Volare Ristorante Italiano,41.89172060243636,-87.62259046540213,Italian Restaurant,
121,429e4c00f964a520b7241fe3,Bandera Restaurant,41.89206746072284,-87.6240444371099,New American Restaurant,
122,5723af9b498ed2977266a012,Copper Fox Gastropub,41.8932383,-87.6231299,Gastropub,
123,4a2ae23af964a52064961fe3,"Joe's Seafood, Prime Steak & Stone Crab",41.891827934799345,-87.62544444279393,Seafood Restaurant,6
124,53164839498e6fdf28f9e12e,Eddie V's Prime Seafood,41.89174036111375,-87.62516697056184,Seafood Restaurant,
125,5aab0370d1a40279ad099659,Carsons Steak And Ribs,41.89124856461188,-87.61527667996022,Steakhouse,
126,4e4d56e822717c65aca7fab1,Michael Jordan's Steak House Chicago,41.891136984404106,-87.62415328505517,Steakhouse,
127,5303ead711d21c9427b55466,Side Door,41.8933980217555,-87.62523521528006,Gastropub,
128,522fdf320493d5258ca1f8b0,Shake Shack,41.89256120466481,-87.62564580053429,Burger Joint,
129,57460d71cd1084eabbdb5785,Osteria Di Eataly,41.892327696585504,-87.62632460366396,Italian Restaurant,
130,4c45fae2f9652d7f38bd132b,The Lobby at The Peninsula,41.896148065415154,-87.6244111011481,American Restaurant,
131,5952c0f59de23b74a3c5a198,Steak 48,41.893059988663914,-87.62672664913275,Steakhouse,14
132,543d94fe498e006132008592,Lao Sze Chuan Restaurant - Downtown/Michigan Ave,41.89159958598322,-87.62433150719704,Chinese Restaurant,
133,52ae4af911d2ab1eb0e54c06,Il Pesce at Eataly,41.89220575177404,-87.62636008704044,Seafood Restaurant,
134,5511bec9498edabc0e151ccf,La Pizza & La Pasta,41.891996773184005,-87.6262506665224,Italian Restaurant,
135,4b39760af964a520dc5c25e3,Shanghai Terrace,41.89615574947821,-87.62421488507233,Chinese Restaurant,
136,4a7b6a36f964a520f0ea1fe3,The Palm Chicago,41.8874577,-87.6195718,Seafood Restaurant,
137,4af42ee0f964a52073f021e3,Pierrot Gourmet,41.895872384137746,-87.62540618747774,Café,
138,4babf4b2f964a52003d93ae3,Benny’s Chop House,41.8907622349569,-87.62671545963312,Steakhouse,
139,5c00b7ad56c89f002c9b038f,ALTHEA,41.8953342,-87.6247305,Vegetarian / Vegan Restaurant,
140,4c3b78ec16cb2d7fa1ed02a9,Arami,41.89598690063141,-87.67336150539116,Sushi Restaurant,
141,4a29af59f964a520c2951fe3,Schwa,41.90892891354636,-87.6675941785423,New American Restaurant,
142,57804fae498eb7aac7c28cba,The Angry Crab,41.90531138734467,-87.66995429992676,Seafood Restaurant,
143,5c87e6933abcaf002d3b31b7,Machine: Engineered Dining & Drink,41.90346,-87.67411,New American Restaurant,
144,5d4ccc5878bb0e0007adb559,Spicy Fingers,41.896117,-87.666723,Seafood Restaurant,
145,5f417edc4af8554dc900565f,Azul Mariscos,41.90322,-87.65766,Seafood Restaurant,
146,4a986f7bf964a520002c20e3,May Street Market,41.891189835921054,-87.6559719627071,New American Restaurant,
147,5529cd75498effc390781414,Boeufhaus,41.899880184145026,-87.68708615851665,Steakhouse,
148,4fd4f7e6e4b034e1fabcdfdb,Kai Zan,41.89559321879891,-87.691532505927,Japanese Restaurant,
149,4fac7e4ce4b08541e8f0a1f0,Nando Milano Trattoria,41.90316690014216,-87.68040322287224,Italian Restaurant,
150,584f06a1f22995086629aab9,Split Rail,41.895813972733876,-87.68940792765852,New American Restaurant,
151,557371d7498ef4e26de82da4,Wixter Market,41.903423,-87.680239,Seafood Restaurant,
152,4a345e4cf964a520249c1fe3,Taxim,41.90982313806515,-87.67665815797089,Greek Restaurant,
153,4c783985dbaa76b0fa28144b,Naveen's Cuisine,41.91032269004412,-87.68597624934492,Indian Restaurant,
154,51833130498e228aa88c0e95,Gari Sushi,41.89587417721706,-87.67786822217825,Japanese Restaurant,
155,5b6500106f0aa2002cefb486,Bulerias,41.910124,-87.689997,Tapas Restaurant,
156,56199b9f498e26fd033cbe10,3 Arts Club Cafe,41.9060234,-87.6304882,Café,20
157,561af710498ef927dbf9b658,Maple & Ash,41.901930934901735,-87.62847587223587,Steakhouse,8
158,4ac7e2f3f964a52056ba20e3,Gibsons Bar & Steakhouse,41.901526633910464,-87.627982756917,Steakhouse,10
159,529d1c92498e1b216c0769f5,Nico Osteria,41.90152987412378,-87.6278143402215,Italian Restaurant,
160,4a736375f964a52054dc1fe3,Hugo's Frog Bar & Fish House,41.90128843548068,-87.62786048149528,Seafood Restaurant,
161,4ad1278bf964a5201add20e3,Mario's Table,41.90560285037881,-87.62995451729573,Italian Restaurant,
162,4176fc00f964a520b51d1fe3,Tavern on Rush,41.90168390355884,-87.62799954926983,American Restaurant,
163,53ad9499498ed1411b89d336,Fig & Olive,41.9009083,-87.6256192,Mediterranean Restaurant,
164,4a444bd6f964a5206ea71fe3,Carmine's,41.90185266486104,-87.62823877711398,Italian Restaurant,
165,40b28c80f964a520e4fb1ee3,Le Colonial,41.90021847164991,-87.6272806404633,Vietnamese Restaurant,
166,4f19c4ac10812312e5316d39,Allium Restaurant and Bar at Four Seasons Hotel Chicago,41.8995792175935,-87.62405050103463,New American Restaurant,
167,59516ef0e2ead15bbf4969ec,Margeaux Brasserie,41.8997019,-87.627504,French Restaurant,
168,4e50440445ddff0031cce4d3,The Signature Room at the 95th,41.89876944554079,-87.62295214660702,American Restaurant,
169,4ac4062bf964a520e89d20e3,Rosebud Steakhouse,41.90002026800032,-87.62225365349147,Steakhouse,
170,4ec316c49a524f6c471eaa9a,Francesca's on Chestnut,41.89841184265746,-87.62213776268716,Italian Restaurant,
171,4b5a0b6df964a520b8a928e3,Kamehachi,41.91007055076767,-87.63451900049677,Sushi Restaurant,
172,5a10e6f0e2d4aa6ddd4f5de5,Truluck's,41.89843593121194,-87.62688318606739,Seafood Restaurant,
173,597ce4e0dd84420c834bb970,Torali - Italian Steak,41.89845436210819,-87.6224268612446,Italian Restaurant,
174,4686299bf964a5203a481fe3,Alinea,41.91346969289221,-87.64833761636885,Molecular Gastronomy Restaurant,
175,4a598740f964a5206fb91fe3,Boka,41.91362907985272,-87.64819628300769,New American Restaurant,
176,56180447498e0a396cf8ec93,Earls Kitchen + Bar,41.90895492539329,-87.64739181364635,New American Restaurant,
177,4b09de84f964a520f31e23e3,Geja's Cafe,41.918355139796816,-87.63824471705645,Fondue Restaurant,
178,54cd1810498e27d620985fe6,The Blanchard,41.91769054526871,-87.63650033470405,French Restaurant,
179,52695b4e11d28591d6794c24,Summer House Santa Monica,41.91761284190772,-87.64856178240505,American Restaurant,12
180,52914387498e470999432c33,Stella Barra Pizzeria,41.91771862645703,-87.64855359662702,Pizza Place,
181,4b5f9e9ef964a520ffc429e3,Riccardo Trattoria,41.9206154912861,-87.63742793707912,Italian Restaurant,
182,4b49280bf964a520216826e3,Trattoria Gianni,41.913233362631324,-87.64833250942031,Italian Restaurant,
183,50a43e59e4b0cbb1fa8d5e32,Riccardo Enoteca,41.920653986531924,-87.63748454753637,Italian Restaurant,
184,592e1b63fc9e94787f6909d9,Lady Gregory's,41.90988174903668,-87.63447974199154,New American Restaurant,
185,51d9e996498e240a72ed0260,Pourhouse,41.90821814324677,-87.6343924349712,Gastropub,
186,55f74eb2498e93c8d3b5a92c,Mariano's Oyster Bar,41.90801338325483,-87.64588911726635,Seafood Restaurant,
187,5bff48b93092be00397d138f,Crab Cellar,41.917778000000006,-87.648838,Seafood Restaurant,
188,5ef36595e2561200077c5a9b,Surf’s Up,41.903456,-87.634238,Seafood Restaurant,
189,5b4804edc0af57002c6bf071,etta,41.910589922273516,-87.67438869653337,New American Restaurant,17
190,46b0836bf964a5208c491fe3,Las Palmas,41.910217664021914,-87.6738663663298,Mexican Restaurant,
191,4b2e8c64f964a5203ce224e3,Lucia's Gourmet Italian Cuisine,41.9104253525459,-87.67380797312639,Italian Restaurant,
192,4b162e82f964a52063b723e3,Rios D'Sudamerica,41.91776184558975,-87.67826822806545,South American Restaurant,
193,4ca91a53a6e08cfa322c9694,Whale Fish Shrimp & Chicken,41.895732,-87.71651,Seafood Restaurant,
194,4f328e9c19836c91c7e36d9d,Andy's Deli and Mikolajczyk Sausage Shop,41.887484,-87.72685600000001,Deli / Bodega,
195,4c6b0b116d390f4708ed099a,The Florentine,41.8791704,-87.633032,Italian Restaurant,
196,5755b556498ea375c5d4baac,The Dearborn,41.88441496734612,-87.6295536667491,Gastropub,3
197,4ad91beff964a5202e1821e3,Shaw's Crab House,41.88995884817228,-87.62706513392384,Seafood Restaurant,4
198,59deb72f061b514b32a062af,Gibson Italia,41.88660610748305,-87.63959338580256,Italian Restaurant,5
199,49ebe487f964a52043671fe3,Mon Ami Gabi,41.92392662057388,-87.63661534297943,French Restaurant,9
